,quantity,pack_size,delirium,type,amount,normalized,grove,map_seed,plot,tier_3_upgrade,tier_4_upgrade,t1,t2,t3,t4,sacred drops
58,125.0,39.0,20.0,Wild,85,52.30769230769231,1,1,5,0.11,0.02,0,0.0,1.0,0.0,0.0
59,125.0,39.0,20.0,Primal,87,53.53846153846154,1,1,5,0.11,0.02,0,41.0,3.0,0.0,0.0
60,125.0,39.0,20.0,Primal,61,37.53846153846154,1,1,5,0.11,0.02,0,41.0,3.0,0.0,0.0
61,125.0,39.0,20.0,Primal,32,19.692307692307693,1,1,5,0.11,0.02,0,41.0,3.0,0.0,0.0
62,125.0,39.0,20.0,Primal,61,37.53846153846154,1,1,5,0.11,0.02,0,41.0,3.0,0.0,0.0
63,125.0,39.0,20.0,Primal,23,14.153846153846153,1,1,5,0.11,0.02,0,41.0,3.0,0.0,0.0
64,125.0,39.0,20.0,Primal,72,44.30769230769231,1,1,5,0.11,0.02,0,41.0,3.0,0.0,0.0
65,125.0,39.0,20.0,Wild,65,40.0,1,1,6,0.11,0.02,0,18.0,2.0,0.0,0.0
66,125.0,39.0,20.0,Wild,20,12.307692307692308,1,1,6,0.11,0.02,0,18.0,2.0,0.0,0.0
67,125.0,39.0,20.0,Wild,36,22.153846153846153,1,1,6,0.11,0.02,0,18.0,2.0,0.0,0.0
68,125.0,39.0,20.0,Wild,86,52.92307692307692,1,1,6,0.11,0.02,0,18.0,2.0,0.0,0.0
69,125.0,39.0,20.0,Primal,31,19.076923076923077,1,1,6,0.11,0.02,0,25.0,2.0,0.0,0.0
70,125.0,39.0,20.0,Primal,31,19.076923076923077,1,1,6,0.11,0.02,0,25.0,2.0,0.0,0.0
71,125.0,39.0,20.0,Primal,71,43.69230769230769,1,1,6,0.11,0.02,0,25.0,2.0,0.0,0.0
72,125.0,39.0,20.0,Primal,86,52.92307692307692,1,1,6,0.11,0.02,0,25.0,2.0,0.0,0.0
73,125.0,39.0,20.0,Primal,30,18.46153846153846,1,1,6,0.11,0.02,0,25.0,2.0,0.0,0.0
74,125.0,39.0,20.0,Primal,23,14.153846153846153,1,1,6,0.11,0.02,0,25.0,2.0,0.0,0.0
75,125.0,39.0,20.0,Primal,27,16.615384615384617,1,1,6,0.11,0.02,0,25.0,2.0,0.0,0.0
76,125.0,39.0,20.0,Primal,79,48.61538461538461,1,1,6,0.11,0.02,0,25.0,2.0,0.0,0.0
77,125.0,39.0,20.0,Primal,32,19.692307692307693,1,1,6,0.11,0.02,0,25.0,2.0,0.0,0.0
78,125.0,39.0,20.0,Primal,61,37.53846153846154,1,1,7,0.11,0.02,0,0.0,2.0,0.0,0.0
79,125.0,39.0,20.0,Primal,88,54.15384615384615,1,1,7,0.11,0.02,0,0.0,2.0,0.0,0.0
80,125.0,39.0,20.0,Primal,67,41.23076923076923,1,1,7,0.11,0.02,0,0.0,2.0,0.0,0.0
81,125.0,39.0,20.0,Vivid,91,56.0,1,1,7,0.11,0.02,0,43.0,1.0,0.0,0.0
82,125.0,39.0,20.0,Vivid,40,24.615384615384617,1,1,7,0.11,0.02,0,43.0,1.0,0.0,0.0
83,125.0,39.0,20.0,Vivid,27,16.615384615384617,1,1,7,0.11,0.02,0,43.0,1.0,0.0,0.0
84,134.0,42.0,20.0,Primal,332,198.80239520958085,2,2,8,0.12,0.03,0,43.0,3.0,1.0,0.0
85,134.0,42.0,20.0,Primal,31,18.562874251497007,2,2,8,0.12,0.03,0,43.0,3.0,1.0,0.0
86,134.0,42.0,20.0,Primal,25,14.970059880239521,2,2,8,0.12,0.03,0,43.0,3.0,1.0,0.0
87,134.0,42.0,20.0,Primal,76,45.50898203592815,2,2,8,0.12,0.03,0,43.0,3.0,1.0,0.0
88,134.0,42.0,20.0,Primal,25,14.970059880239521,2,2,8,0.12,0.03,0,43.0,3.0,1.0,0.0
89,134.0,42.0,20.0,Primal,76,45.50898203592815,2,2,8,0.12,0.03,0,43.0,3.0,1.0,0.0
90,134.0,42.0,20.0,Primal,40,23.952095808383234,2,2,8,0.12,0.03,0,43.0,3.0,1.0,0.0
91,134.0,42.0,20.0,Primal,38,22.754491017964074,2,2,8,0.12,0.03,0,43.0,3.0,1.0,0.0
92,134.0,42.0,20.0,Primal,72,43.11377245508982,2,2,8,0.12,0.03,0,43.0,3.0,1.0,0.0
94,134.0,42.0,20.0,Primal,29,17.365269461077844,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
95,134.0,42.0,20.0,Primal,68,40.7185628742515,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
96,134.0,42.0,20.0,Primal,91,54.49101796407186,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
97,134.0,42.0,20.0,Primal,82,49.10179640718563,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
98,134.0,42.0,20.0,Primal,95,56.886227544910184,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
99,134.0,42.0,20.0,Primal,78,46.706586826347305,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
100,134.0,42.0,20.0,Primal,76,45.50898203592815,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
101,134.0,42.0,20.0,Primal,88,52.69461077844311,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
102,134.0,42.0,20.0,Primal,87,52.09580838323353,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
103,134.0,42.0,20.0,Primal,63,37.724550898203596,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
104,134.0,42.0,20.0,Primal,63,37.724550898203596,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
105,134.0,42.0,20.0,Primal,21,12.574850299401199,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
106,134.0,42.0,20.0,Primal,31,18.562874251497007,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
107,134.0,42.0,20.0,Primal,38,22.754491017964074,2,2,9,0.12,0.03,0,16.0,7.0,0.0,0.0
108,134.0,42.0,20.0,Vivid,25,14.970059880239521,2,2,9,0.12,0.03,0,22.0,0.0,0.0,0.0
109,134.0,42.0,20.0,Vivid,30,17.964071856287426,2,2,9,0.12,0.03,0,22.0,0.0,0.0,0.0
110,134.0,42.0,20.0,Wild,24,14.371257485029941,2,2,10,0.12,0.03,0,20.0,3.0,0.0,0.0
111,134.0,42.0,20.0,Wild,31,18.562874251497007,2,2,10,0.12,0.03,0,20.0,3.0,0.0,0.0
112,134.0,42.0,20.0,Wild,38,22.754491017964074,2,2,10,0.12,0.03,0,20.0,3.0,0.0,0.0
113,134.0,42.0,20.0,Wild,40,23.952095808383234,2,2,10,0.12,0.03,0,20.0,3.0,0.0,0.0
114,134.0,42.0,20.0,Wild,69,41.31736526946108,2,2,10,0.12,0.03,0,20.0,3.0,0.0,0.0
115,134.0,42.0,20.0,Wild,82,49.10179640718563,2,2,10,0.12,0.03,0,20.0,3.0,0.0,0.0
116,134.0,42.0,20.0,Wild,68,40.7185628742515,2,2,10,0.12,0.03,0,20.0,3.0,0.0,0.0
117,134.0,42.0,20.0,Wild,69,41.31736526946108,2,2,10,0.12,0.03,0,20.0,3.0,0.0,0.0
118,134.0,42.0,20.0,Vivid,72,43.11377245508982,2,2,10,0.12,0.03,0,21.0,3.0,0.0,0.0
119,134.0,42.0,20.0,Vivid,82,49.10179640718563,2,2,10,0.12,0.03,0,21.0,3.0,0.0,0.0
120,134.0,42.0,20.0,Vivid,81,48.50299401197605,2,2,10,0.12,0.03,0,21.0,3.0,0.0,0.0
121,134.0,42.0,20.0,Vivid,76,45.50898203592815,2,2,10,0.12,0.03,0,21.0,3.0,0.0,0.0
122,134.0,42.0,20.0,Vivid,95,56.886227544910184,2,2,10,0.12,0.03,0,21.0,3.0,0.0,0.0
123,134.0,42.0,20.0,Vivid,82,49.10179640718563,2,2,10,0.12,0.03,0,21.0,3.0,0.0,0.0
124,134.0,42.0,20.0,Wild,63,37.724550898203596,2,2,11,0.12,0.03,0,0.0,3.0,0.0,0.0
125,134.0,42.0,20.0,Wild,62,37.125748502994014,2,2,11,0.12,0.03,0,0.0,3.0,0.0,0.0
126,134.0,42.0,20.0,Wild,67,40.119760479041915,2,2,11,0.12,0.03,0,0.0,3.0,0.0,0.0
127,134.0,42.0,20.0,Wild,85,50.898203592814376,2,2,11,0.12,0.03,0,0.0,3.0,0.0,0.0
128,134.0,42.0,20.0,Primal,66,39.52095808383234,2,2,11,0.12,0.03,0,0.0,1.0,0.0,0.0
129,134.0,42.0,20.0,Vivid,437,261.67664670658684,2,2,11,0.12,0.03,0,41.0,0.0,1.0,0.0
130,134.0,42.0,20.0,Vivid,28,16.766467065868266,2,2,11,0.12,0.03,0,41.0,0.0,1.0,0.0
131,134.0,42.0,20.0,Vivid,34,20.35928143712575,2,2,11,0.12,0.03,0,41.0,0.0,1.0,0.0
132,134.0,42.0,20.0,Vivid,40,23.952095808383234,2,2,11,0.12,0.03,0,41.0,0.0,1.0,0.0
134,134.0,42.0,20.0,Primal,21,12.574850299401199,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
135,134.0,42.0,20.0,Primal,78,46.706586826347305,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
136,134.0,42.0,20.0,Primal,34,20.35928143712575,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
137,134.0,42.0,20.0,Primal,72,43.11377245508982,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
138,134.0,42.0,20.0,Primal,40,23.952095808383234,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
139,134.0,42.0,20.0,Primal,34,20.35928143712575,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
140,134.0,42.0,20.0,Primal,63,37.724550898203596,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
141,134.0,42.0,20.0,Primal,82,49.10179640718563,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
142,134.0,42.0,20.0,Primal,78,46.706586826347305,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
143,134.0,42.0,20.0,Primal,69,41.31736526946108,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
144,134.0,42.0,20.0,Primal,68,40.7185628742515,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
145,134.0,42.0,20.0,Primal,68,40.7185628742515,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
146,134.0,42.0,20.0,Primal,95,56.886227544910184,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
147,134.0,42.0,20.0,Primal,95,56.886227544910184,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
148,134.0,42.0,20.0,Primal,72,43.11377245508982,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
149,134.0,42.0,20.0,Primal,39,23.353293413173652,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
150,134.0,42.0,20.0,Primal,24,14.371257485029941,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
151,134.0,42.0,20.0,Primal,69,41.31736526946108,2,2,12,0.12,0.03,0,39.0,8.0,0.0,0.0
152,196.0,53.0,20.0,Primal,82,41.41414141414141,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
153,196.0,53.0,20.0,Primal,109,55.05050505050505,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
154,196.0,53.0,20.0,Primal,101,51.01010101010101,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
155,196.0,53.0,20.0,Primal,75,37.87878787878788,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
156,196.0,53.0,20.0,Primal,82,41.41414141414141,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
157,196.0,53.0,20.0,Primal,28,14.141414141414142,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
158,196.0,53.0,20.0,Primal,36,18.181818181818183,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
159,196.0,53.0,20.0,Primal,29,14.646464646464647,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
160,196.0,53.0,20.0,Primal,44,22.22222222222222,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
161,196.0,53.0,20.0,Primal,104,52.525252525252526,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
162,196.0,53.0,20.0,Primal,48,24.242424242424242,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
163,196.0,53.0,20.0,Primal,100,50.505050505050505,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
164,196.0,53.0,20.0,Primal,97,48.98989898989899,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
165,196.0,53.0,20.0,Primal,74,37.37373737373738,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
166,196.0,53.0,20.0,Primal,104,52.525252525252526,3,3,13,0.13,0.03,0,40.0,6.0,0.0,0.0
167,196.0,53.0,20.0,Wild,24,12.121212121212121,3,3,14,0.13,0.03,0,22.0,0.0,0.0,0.0
168,196.0,53.0,20.0,Wild,36,18.181818181818183,3,3,14,0.13,0.03,0,22.0,0.0,0.0,0.0
169,196.0,53.0,20.0,Wild,40,20.2020202020202,3,3,14,0.13,0.03,0,22.0,0.0,0.0,0.0
170,196.0,53.0,20.0,Wild,40,20.2020202020202,3,3,14,0.13,0.03,0,22.0,0.0,0.0,0.0
171,196.0,53.0,20.0,Primal,40,20.2020202020202,3,3,14,0.13,0.03,0,22.0,2.0,0.0,0.0
172,196.0,53.0,20.0,Primal,85,42.92929292929293,3,3,14,0.13,0.03,0,22.0,2.0,0.0,0.0
173,196.0,53.0,20.0,Primal,33,16.666666666666668,3,3,14,0.13,0.03,0,22.0,2.0,0.0,0.0
174,196.0,53.0,20.0,Primal,36,18.181818181818183,3,3,14,0.13,0.03,0,22.0,2.0,0.0,0.0
175,196.0,53.0,20.0,Primal,47,23.737373737373737,3,3,14,0.13,0.03,0,22.0,2.0,0.0,0.0
176,196.0,53.0,20.0,Primal,101,51.01010101010101,3,3,14,0.13,0.03,0,22.0,2.0,0.0,0.0
177,196.0,53.0,20.0,Vivid,549,277.27272727272725,3,3,14,0.13,0.03,0,0.0,0.0,1.0,0.0
179,196.0,53.0,20.0,Wild,29,14.646464646464647,3,3,15,0.13,0.03,0,41.0,3.0,0.0,0.0
180,196.0,53.0,20.0,Wild,25,12.626262626262626,3,3,15,0.13,0.03,0,41.0,3.0,0.0,0.0
181,196.0,53.0,20.0,Wild,44,22.22222222222222,3,3,15,0.13,0.03,0,41.0,3.0,0.0,0.0
182,196.0,53.0,20.0,Wild,43,21.717171717171716,3,3,15,0.13,0.03,0,41.0,3.0,0.0,0.0
183,196.0,53.0,20.0,Wild,44,22.22222222222222,3,3,15,0.13,0.03,0,41.0,3.0,0.0,0.0
184,196.0,53.0,20.0,Wild,28,14.141414141414142,3,3,15,0.13,0.03,0,41.0,3.0,0.0,0.0
185,196.0,53.0,20.0,Wild,25,12.626262626262626,3,3,15,0.13,0.03,0,41.0,3.0,0.0,0.0
186,196.0,53.0,20.0,Wild,104,52.525252525252526,3,3,15,0.13,0.03,0,41.0,3.0,0.0,0.0
187,196.0,53.0,20.0,Wild,40,20.2020202020202,3,3,15,0.13,0.03,0,41.0,3.0,0.0,0.0
188,196.0,53.0,20.0,Wild,93,46.96969696969697,3,3,15,0.13,0.03,0,41.0,3.0,0.0,0.0
189,196.0,53.0,20.0,Wild,82,41.41414141414141,3,3,15,0.13,0.03,0,41.0,3.0,0.0,0.0
190,196.0,53.0,20.0,Wild,85,42.92929292929293,3,3,15,0.13,0.03,0,41.0,3.0,0.0,0.0
191,196.0,53.0,20.0,Primal,428,216.16161616161617,3,3,15,0.13,0.03,0,0.0,0.0,1.0,0.0
192,196.0,53.0,20.0,Primal,0,0.0,3,3,15,0.13,0.03,0,0.0,0.0,1.0,1.0
193,196.0,53.0,20.0,Vivid,78,39.39393939393939,3,3,15,0.13,0.03,0,0.0,2.0,0.0,0.0
194,196.0,53.0,20.0,Vivid,74,37.37373737373738,3,3,15,0.13,0.03,0,0.0,2.0,0.0,0.0
195,196.0,53.0,20.0,Vivid,78,39.39393939393939,3,3,15,0.13,0.03,0,0.0,2.0,0.0,0.0
196,196.0,53.0,20.0,Vivid,78,39.39393939393939,3,3,15,0.13,0.03,0,0.0,2.0,0.0,0.0
197,196.0,53.0,20.0,Wild,108,54.54545454545455,3,3,16,0.13,0.03,0,0.0,8.0,0.0,0.0
198,196.0,53.0,20.0,Wild,93,46.96969696969697,3,3,16,0.13,0.03,0,0.0,8.0,0.0,0.0
199,196.0,53.0,20.0,Wild,74,37.37373737373738,3,3,16,0.13,0.03,0,0.0,8.0,0.0,0.0
200,196.0,53.0,20.0,Wild,93,46.96969696969697,3,3,16,0.13,0.03,0,0.0,8.0,0.0,0.0
201,196.0,53.0,20.0,Wild,86,43.43434343434343,3,3,16,0.13,0.03,0,0.0,8.0,0.0,0.0
202,196.0,53.0,20.0,Wild,93,46.96969696969697,3,3,16,0.13,0.03,0,0.0,8.0,0.0,0.0
203,196.0,53.0,20.0,Wild,82,41.41414141414141,3,3,16,0.13,0.03,0,0.0,8.0,0.0,0.0
204,196.0,53.0,20.0,Wild,108,54.54545454545455,3,3,16,0.13,0.03,0,0.0,8.0,0.0,0.0
205,196.0,53.0,20.0,Wild,113,57.07070707070707,3,3,16,0.13,0.03,0,0.0,8.0,0.0,0.0
206,196.0,53.0,20.0,Wild,81,40.90909090909091,3,3,16,0.13,0.03,0,0.0,8.0,0.0,0.0
207,196.0,53.0,20.0,Wild,109,55.05050505050505,3,3,16,0.13,0.03,0,0.0,8.0,0.0,0.0
208,196.0,53.0,20.0,Primal,24,12.121212121212121,3,3,16,0.13,0.03,0,21.0,0.0,0.0,0.0
209,196.0,53.0,20.0,Primal,44,22.22222222222222,3,3,16,0.13,0.03,0,21.0,0.0,0.0,0.0
210,196.0,53.0,20.0,Primal,48,24.242424242424242,3,3,16,0.13,0.03,0,21.0,0.0,0.0,0.0
211,196.0,53.0,20.0,Primal,48,24.242424242424242,3,3,16,0.13,0.03,0,21.0,0.0,0.0,0.0
212,196.0,53.0,20.0,Primal,40,20.2020202020202,3,3,16,0.13,0.03,0,21.0,0.0,0.0,0.0
213,196.0,53.0,20.0,Vivid,24,12.121212121212121,3,3,16,0.13,0.03,0,16.0,0.0,0.0,0.0
214,196.0,53.0,20.0,Wild,112,56.56565656565657,3,3,17,0.13,0.03,0,0.0,2.0,0.0,0.0
215,196.0,53.0,20.0,Wild,90,45.45454545454545,3,3,17,0.13,0.03,0,0.0,2.0,0.0,0.0
216,196.0,53.0,20.0,Wild,77,38.888888888888886,3,3,17,0.13,0.03,0,0.0,2.0,0.0,0.0
217,196.0,53.0,20.0,Primal,40,20.2020202020202,3,3,17,0.13,0.03,0,18.0,2.0,0.0,0.0
218,196.0,53.0,20.0,Primal,78,39.39393939393939,3,3,17,0.13,0.03,0,18.0,2.0,0.0,0.0
219,196.0,53.0,20.0,Primal,29,14.646464646464647,3,3,17,0.13,0.03,0,18.0,2.0,0.0,0.0
220,196.0,53.0,20.0,Primal,101,51.01010101010101,3,3,17,0.13,0.03,0,18.0,2.0,0.0,0.0
221,196.0,53.0,20.0,Primal,43,21.717171717171716,3,3,17,0.13,0.03,0,18.0,2.0,0.0,0.0
222,196.0,53.0,20.0,Primal,39,19.696969696969695,3,3,17,0.13,0.03,0,18.0,2.0,0.0,0.0
223,196.0,53.0,20.0,Vivid,24,12.121212121212121,3,3,17,0.13,0.03,0,25.0,0.0,0.0,0.0
224,196.0,53.0,20.0,Vivid,37,18.68686868686869,3,3,17,0.13,0.03,0,25.0,0.0,0.0,0.0
225,196.0,53.0,20.0,Vivid,32,16.161616161616163,3,3,17,0.13,0.03,0,25.0,0.0,0.0,0.0
226,196.0,53.0,20.0,Vivid,28,14.141414141414142,3,3,17,0.13,0.03,0,25.0,0.0,0.0,0.0
227,196.0,53.0,20.0,Vivid,32,16.161616161616163,3,3,17,0.13,0.03,0,25.0,0.0,0.0,0.0
228,141.0,43.0,40.0,Wild,406,238.12316715542522,4,4,18,0.1,0.02,0,0.0,8.0,1.0,0.0
229,141.0,43.0,40.0,Wild,97,56.89149560117302,4,4,18,0.1,0.02,0,0.0,8.0,1.0,0.0
230,141.0,43.0,40.0,Wild,86,50.43988269794721,4,4,18,0.1,0.02,0,0.0,8.0,1.0,0.0
231,141.0,43.0,40.0,Wild,97,56.89149560117302,4,4,18,0.1,0.02,0,0.0,8.0,1.0,0.0
232,141.0,43.0,40.0,Wild,74,43.401759530791786,4,4,18,0.1,0.02,0,0.0,8.0,1.0,0.0
233,141.0,43.0,40.0,Wild,76,44.57478005865102,4,4,18,0.1,0.02,0,0.0,8.0,1.0,0.0
234,141.0,43.0,40.0,Wild,65,38.12316715542522,4,4,18,0.1,0.02,0,0.0,8.0,1.0,0.0
